Inputs:
n: 100
m: 5
p: 20
k: 20

Generation	T4T%	G%	AC%	AD%	T4T Payoff	G Payoff	AC Payoff	AD Payoff	T4T Avg Payoff	G Avg Payoff	AC Avg Payoff	AD Avg Payoff	Total Payoff
1	25	25	25	25	30250	30250	27750	29875	30250.0	30250.0	27750.0	29875.0	118125	
2	35	35	5	25	42350	42350	5550	21875	42350.0	42350.0	5550.0	21875.0	112125	
3	44	46	5	5	62920	65780	7050	4775	62920.0	65780.0	7050.0	4775.0	140525	
4	50	50	0	0	74250	74250	0	0	74250.0	74250.0	0.0	0.0	148500	
5	51	49	0	0	75735	72765	0	0	75735.0	72765.0	0.0	0.0	148500	
6	50	50	0	0	74250	74250	0	0	74250.0	74250.0	0.0	0.0	148500	
7	52	48	0	0	77220	71280	0	0	77220.0	71280.0	0.0	0.0	148500	
8	52	48	0	0	77220	71280	0	0	77220.0	71280.0	0.0	0.0	148500	
9	53	47	0	0	78705	69795	0	0	78705.0	69795.0	0.0	0.0	148500	
10	49	51	0	0	72765	75735	0	0	72765.0	75735.0	0.0	0.0	148500	
11	51	49	0	0	75735	72765	0	0	75735.0	72765.0	0.0	0.0	148500	
12	51	49	0	0	75735	72765	0	0	75735.0	72765.0	0.0	0.0	148500	
13	50	50	0	0	74250	74250	0	0	74250.0	74250.0	0.0	0.0	148500	
14	48	52	0	0	71280	77220	0	0	71280.0	77220.0	0.0	0.0	148500	
15	43	56	0	0	63855	84645	0	0	63855.0	84645.0	0.0	0.0	148500	
16	38	62	0	0	56430	92070	0	0	56430.0	92070.0	0.0	0.0	148500	
17	35	65	0	0	51975	96525	0	0	51975.0	96525.0	0.0	0.0	148500	
18	34	66	0	0	50490	98010	0	0	50490.0	98010.0	0.0	0.0	148500	
19	32	68	0	0	47520	100980	0	0	47520.0	100980.0	0.0	0.0	148500	
20	34	66	0	0	50490	98010	0	0	50490.0	98010.0	0.0	0.0	148500	
