Inputs:
n: 100
m: 5
p: 5
k: 20

Generation	T4T%	G%	AC%	AD%	T4T Payoff	G Payoff	AC Payoff	AD Payoff	T4T Avg Payoff	G Avg Payoff	AC Avg Payoff	AD Avg Payoff	Total Payoff
1	10	0	80	10	13750	0	106800	21350	1375.0	0.0	1335.0	2135.0	141900	
2	10	0	75	15	13200	0	94500	30525	1320.0	0.0	1260.0	2035.0	138225	
3	10	0	70	20	12650	0	82950	38700	1265.0	0.0	1185.0	1935.0	134300	
4	10	0	65	25	12100	0	72150	45875	1210.0	0.0	1110.0	1835.0	130125	
5	10	0	60	30	11550	0	62100	52050	1155.0	0.0	1035.0	1735.0	125700	
6	10	0	55	35	11000	0	52800	57225	1100.0	0.0	960.0	1635.0	121025	
7	10	0	50	40	10450	0	44250	61400	1045.0	0.0	885.0	1535.0	116100	
8	10	0	45	45	9900	0	36450	64575	990.0	0.0	810.0	1435.0	110925	
9	10	0	40	50	9350	0	29400	66750	935.0	0.0	735.0	1335.0	105500	
10	10	0	35	55	8800	0	23100	67925	880.0	0.0	660.0	1235.0	99825	
11	10	0	30	60	8250	0	17550	68100	825.0	0.0	585.0	1135.0	93900	
12	10	0	25	65	7700	0	12750	67275	770.0	0.0	510.0	1035.0	87725	
13	10	0	20	70	7150	0	8700	65450	715.0	0.0	435.0	935.0	81300	
14	10	0	15	75	6600	0	5400	62625	660.0	0.0	360.0	835.0	74625	
15	10	0	10	80	6050	0	2850	58800	605.0	0.0	285.0	735.0	67700	
16	10	0	5	85	5500	0	1050	53975	550.0	0.0	210.0	635.0	60525	
17	10	0	0	90	4950	0	0	48150	495.0	0.0	0.0	535.0	53100	
18	5	0	0	95	2200	0	0	48925	440.0	0.0	0.0	515.0	51125	
19	0	0	0	100	0	0	0	49500	0.0	0.0	0.0	495.0	49500	
20	0	0	0	100	0	0	0	49500	0.0	0.0	0.0	495.0	49500	
